Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,1,2,146,7,Some Random Commen with Id 0
1,1,2,166,1,Some Random Commen with Id 1
2,1,2,148,6,Some Random Commen with Id 2
3,1,2,63,3,Some Random Commen with Id 3
4,1,2,11,2,Some Random Commen with Id 4
5,1,2,24,4,Some Random Commen with Id 5
6,1,2,194,2,Some Random Commen with Id 6
7,1,2,185,9,Some Random Commen with Id 7
8,1,2,126,8,Some Random Commen with Id 8
9,2,2,164,9,Some Random Commen with Id 9
10,2,2,132,8,Some Random Commen with Id 10
11,2,2,65,7,Some Random Commen with Id 11
12,2,2,131,0,Some Random Commen with Id 12
13,2,2,187,5,Some Random Commen with Id 13
14,3,8,52,3,Some Random Commen with Id 14
15,4,5,72,4,Some Random Commen with Id 15
16,4,5,43,1,Some Random Commen with Id 16
17,4,5,44,1,Some Random Commen with Id 17
18,4,5,63,3,Some Random Commen with Id 18
19,4,5,6,3,Some Random Commen with Id 19
20,4,5,106,4,Some Random Commen with Id 20
21,4,5,131,5,Some Random Commen with Id 21
22,4,5,56,5,Some Random Commen with Id 22
23,5,3,117,4,Some Random Commen with Id 23
24,5,3,97,5,Some Random Commen with Id 24
25,5,3,164,5,Some Random Commen with Id 25
26,5,3,38,8,Some Random Commen with Id 26
27,5,3,22,7,Some Random Commen with Id 27
28,5,3,182,0,Some Random Commen with Id 28
29,5,3,55,9,Some Random Commen with Id 29
30,5,3,98,2,Some Random Commen with Id 30
31,6,8,180,4,Some Random Commen with Id 31
32,6,8,140,6,Some Random Commen with Id 32
33,6,8,74,8,Some Random Commen with Id 33
34,6,8,182,9,Some Random Commen with Id 34
35,6,8,17,0,Some Random Commen with Id 35
36,6,8,188,2,Some Random Commen with Id 36
37,6,8,74,3,Some Random Commen with Id 37
38,6,8,42,3,Some Random Commen with Id 38
39,7,0,142,4,Some Random Commen with Id 39
40,7,0,164,0,Some Random Commen with Id 40
41,7,0,161,2,Some Random Commen with Id 41
42,7,0,161,4,Some Random Commen with Id 42
43,7,0,32,0,Some Random Commen with Id 43
44,9,3,8,3,Some Random Commen with Id 44
45,9,3,20,7,Some Random Commen with Id 45
46,9,3,81,9,Some Random Commen with Id 46
47,9,3,161,0,Some Random Commen with Id 47
48,9,3,83,9,Some Random Commen with Id 48
49,9,3,19,2,Some Random Commen with Id 49
50,9,3,159,0,Some Random Commen with Id 50
51,9,3,160,4,Some Random Commen with Id 51
52,10,6,29,3,Some Random Commen with Id 52
53,10,6,39,0,Some Random Commen with Id 53
54,10,6,125,9,Some Random Commen with Id 54
55,10,6,51,1,Some Random Commen with Id 55
56,10,6,198,1,Some Random Commen with Id 56
57,10,6,124,0,Some Random Commen with Id 57
58,11,4,51,7,Some Random Commen with Id 58
59,11,4,19,0,Some Random Commen with Id 59
60,11,4,89,5,Some Random Commen with Id 60
61,11,4,55,6,Some Random Commen with Id 61
62,12,0,162,5,Some Random Commen with Id 62
63,12,0,68,6,Some Random Commen with Id 63
64,12,0,66,4,Some Random Commen with Id 64
65,12,0,194,1,Some Random Commen with Id 65
66,12,0,21,7,Some Random Commen with Id 66
67,12,0,13,5,Some Random Commen with Id 67
68,13,7,56,4,Some Random Commen with Id 68
69,13,7,183,1,Some Random Commen with Id 69
70,14,6,163,4,Some Random Commen with Id 70
71,14,6,82,3,Some Random Commen with Id 71
72,14,6,132,6,Some Random Commen with Id 72
73,15,3,85,8,Some Random Commen with Id 73
74,15,3,102,6,Some Random Commen with Id 74
75,15,3,53,1,Some Random Commen with Id 75
76,15,3,7,8,Some Random Commen with Id 76
77,15,3,108,3,Some Random Commen with Id 77
